DATE,Confirmed,Recovered,Deaths
14-Mar-20,81,9,2
15-Mar-20,108,13,2
16-Mar-20,123,14,2
17-Mar-20,134,15,2
18-Mar-20,171,15,3
19-Mar-20,198,20,4
20-Mar-20,256,23,4
21-Mar-20,334,23,4
22-Mar-20,401,23,7
23-Mar-20,503,35,9
24-Mar-20,566,40,10
25-Mar-20,655,43,11
26-Mar-20,720,50,16
27-Mar-20,884,76,19
28-Mar-20,1027,85,24
29-Mar-20,1137,90,27
30-Mar-20,1324,139,40
31-Mar-20,1633,154,46
01-Apr-20,2057,170,55
02-Apr-20,2542,192,69
03-Apr-20,3102,230,83
04-Apr-20,3681,286,96
05-Apr-20,4290,329,118
06-Apr-20,4774,394,134
07-Apr-20,5347,469,161
08-Apr-20,5912,565,181
09-Apr-20,6725,635,227
10-Apr-20,7596,786,249
11-Apr-20,8450,972,290
12-Apr-20,9208,1086,332
13-Apr-20,10451,1198,359
14-Apr-20,11482,1365,396
15-Apr-20,12368,1509,423
16-Apr-20,13429,1767,449
17-Apr-20,14351,2040,487
18-Apr-20,15722,2466,522
19-Apr-20,17302,2854,560
20-Apr-20,18541,3273,593
21-Apr-20,20078,3976,646
22-Apr-20,21370,4370,682
23-Apr-20,23037,5012,722
24-Apr-20,24445,5496,781
25-Apr-20,26280,5938,825
26-Apr-20,27887,6523,881
27-Apr-20,29455,7103,939
28-Apr-20,31357,7739,1008
29-Apr-20,33062,8429,1079
30-Apr-20,34863,9059,1154
01-May-20,37259,10021,1321
02-May-20,39823,10852,1323
03-May-20,42775,11763,1463
04-May-20,46431,12845,1566
05-May-20,49403,14140,1694
06-May-20,53005,15301,1785
07-May-20,56349,16776,1889
08-May-20,59689,17887,1986
09-May-20,62865,19301,2103
10-May-20,67176,20970,2215
11-May-20,70768,22549,2296
12-May-20,74330,24454,2416
13-May-20,78056,26417,2553
14-May-20,82046,28011,2650
15-May-20,85854,30245,2754
16-May-20,90644,34257,2874
17-May-20,95694,36795,3026
18-May-20,100322,39277,3157
19-May-20,105660,42309,3303
20-May-20,111082,45422,3437
21-May-20,116798,48553,3585
22-May-20,123116,51833,3727
23-May-20,129500,54409,3869
24-May-20,136169,57694,4025
25-May-20,142275,60706,4175
26-May-20,147810,64277,4347
27-May-20,154033,67749,4534
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
